Reference,Value,Package,MidX,MidY,Rotation,Layer
C1,1000 uF,CP_Elec_10x10,90.6145,-82.55,0,top
C2,1000 uF,CP_Elec_10x10,132.588,-82.9945,180,top
C3,.1 uF,C_0603_1608Metric,77.1525,-88.2015,180,top
C4,.1 uF,C_0603_1608Metric,148.209,-75.8825,0,top
C5,1000 uF,CP_Elec_10x10,90.3605,-103.9495,0,top
C6,1000 uF,CP_Elec_10x10,132.5245,-101.0285,180,top
C7,.1 uF,C_0603_1608Metric,77.7875,-108.9025,180,top
C8,.1 uF,C_0603_1608Metric,147.5105,-95.6945,0,top
D1,LED,LED_0805_2012Metric,96.393,-51.3715,0,top
R1,220,R_0603_1608Metric,103.5685,-51.562,180,top
R2,470,R_0603_1608Metric,107.315,-83.566,90,top
R3,470,R_0603_1608Metric,114.4905,-83.566,90,top
R4,470,R_0603_1608Metric,111.76,-103.251,270,top
R5,470,R_0603_1608Metric,119.888,-103.251,270,top
R6,10,R_0603_1608Metric,73.3425,-88.138,180,top
R7,10,R_0603_1608Metric,153.0985,-75.8825,0,top
R8,10,R_0603_1608Metric,72.4535,-108.5215,180,top
R9,10,R_0603_1608Metric,152.5015,-95.631,0,top
U1,LM386,SOIC-8_3.9x4.9mm_P1.27mm,74.8665,-82.55,0,top
U2,LM386,SOIC-8_3.9x4.9mm_P1.27mm,150.0505,-82.2325,180,top
U3,LM386,SOIC-8_3.9x4.9mm_P1.27mm,74.803,-102.489,0,top
U4,LM386,SOIC-8_3.9x4.9mm_P1.27mm,149.606,-102.2985,180,top
